Nom,Type,Specialité,Classe Assignée,Jour 1,Jour 2,Jour 3,Jour 4,Jour 5,Liberation
Prof Musique 1,s,Musique,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",
Prof Musique 2,s,Musique,,"1,2,3","1,2,3","1,2,3","1,2,3","1,2,3",
Prof Education physique 1,s,Education Physique,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",
Prof Education physique 2,s,Education Physique,,"1,2,3","1,2,3","1,2,3",,"1,2,3",
Prof Anglais 1,s,Anglais,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",
Mme prof 201,t,,201,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",1
Mme prof 202,t,,202,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",2
Mme prof 203,t,,203,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",3
Mme prof 204,t,,204,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",4
Mme prof 205,t,,205,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",5
